,id,oplocdistrict,industryphy,industryco,enttype,state,adbusign,townsign,regtype,empnum,regcap,enttypegb,label
104,6045,14,0,91,15,0,0,0,1,,100.0,13,0.0
105,3596,1,5,317,15,1,0,0,1,2.0,1000.0,13,0.0
106,7086,5,3,44,15,1,0,1,1,,5000.0,36,1.0
107,1665,13,5,123,15,1,0,0,1,13.0,88.0,13,0.0
108,6319,2,5,281,15,1,0,0,1,,1000.0,13,0.0
109,13227,2,5,317,15,1,0,0,1,5.0,200.0,37,0.0
110,9110,13,5,317,15,0,0,1,1,,100.0,13,0.0
111,14526,2,5,123,15,1,0,0,1,1.0,500.0,13,0.0
112,4299,13,0,72,4,1,0,1,1,2.0,50.0,2,0.0
113,7283,2,9,237,5,1,0,1,1,2.0,150100.0,29,1.0
114,4594,13,5,123,15,1,0,0,1,1.0,30.0,13,0.0
115,2962,14,5,20,15,1,0,1,1,,50.0,37,0.0
116,3741,2,11,165,15,1,0,0,1,2.0,50.0,37,0.0
117,8094,13,11,211,15,1,0,0,1,3.0,10.0,13,0.0
118,11776,5,5,317,15,1,0,0,1,2.0,5200.0,13,0.0
119,12221,11,5,258,15,1,0,0,1,4.0,500.0,13,0.0
120,6450,5,5,61,15,1,0,0,1,2.0,100.0,37,0.0
121,4707,2,0,72,4,1,0,1,1,1.0,10.0,2,0.0
122,11149,11,0,91,15,1,0,1,3,,4000.0,13,0.0
123,808,5,0,91,4,1,0,0,1,2.0,20.0,2,0.0
124,8680,5,0,97,4,1,0,0,1,2.0,10.0,2,0.0
125,9692,14,5,20,15,1,0,1,1,,200.0,13,0.0
126,2405,1,11,165,15,1,0,0,1,10.0,100.0,37,0.0
127,9533,11,11,165,5,1,0,0,1,2.0,10.0,22,0.0
128,9966,14,10,110,4,1,0,0,1,3.0,50.0,2,0.0
129,9368,14,11,136,15,1,0,0,1,4.0,20.0,13,0.0
130,7024,11,0,40,4,1,0,0,1,6.0,10.0,2,0.0
131,676,0,3,44,5,1,0,1,1,3.0,50001.0,29,1.0
132,13876,2,5,67,15,1,0,0,1,5.0,10.0,13,0.0
133,2925,2,3,341,5,1,0,1,1,10.0,100000.0,29,1.0
134,3354,2,0,43,15,1,0,1,1,6.0,500.0,13,0.0
135,751,13,0,91,4,1,0,1,1,5.0,10.0,2,0.0
136,6678,11,0,111,4,0,0,1,1,4.0,10.0,2,0.0
137,6893,2,5,123,15,1,0,0,1,3.0,200.0,13,0.0
138,6389,11,0,15,15,1,0,0,1,10.0,10.0,37,0.0
139,11107,6,5,58,15,1,0,0,1,1.0,500.0,13,0.0
140,4416,5,5,233,15,1,0,0,1,20.0,700.0,37,0.0
141,14126,2,0,91,4,1,0,0,1,3.0,50.0,2,0.0
142,1502,13,0,304,15,1,0,0,1,13.0,500.0,37,0.0
143,11565,13,11,165,15,1,0,0,1,3.0,500.0,13,0.0
144,28,2,14,319,15,1,0,0,1,2.0,500.0,13,0.0
145,7653,2,6,138,15,0,0,1,1,3.0,100.0,13,0.0
146,8510,14,5,20,15,1,0,0,1,3.0,10.0,13,0.0
147,7826,13,14,152,15,1,0,0,1,200.0,1000.0,36,0.0
148,6600,10,5,281,15,1,0,0,1,6.0,100.0,13,0.0
149,2288,13,0,72,4,1,0,1,1,2.0,100.0,2,0.0
150,7888,15,9,95,5,1,0,1,1,2.0,500.0,29,1.0
151,3017,5,0,81,15,1,0,0,1,3.0,10.0,37,0.0
152,13039,10,0,91,4,1,0,1,1,5.0,15.0,2,0.0
153,2070,5,5,317,15,1,0,0,1,2.0,50.0,13,0.0
154,5114,10,5,317,15,1,0,0,3,,50.0,13,0.0
155,12401,10,14,243,15,1,0,0,1,3.0,800.0,13,0.0
156,2618,14,11,219,15,1,0,0,1,2.0,500.0,13,0.0
157,1989,6,11,136,15,1,0,0,1,3.0,100.0,10,0.0
158,1116,11,0,309,15,1,0,0,1,6.0,52.0,37,0.0
159,724,11,0,72,4,1,0,1,1,1.0,10.0,2,0.0
160,10952,13,0,309,15,1,0,0,1,3.0,50.0,13,0.0
161,14378,14,5,258,15,1,0,0,1,2.0,100.0,13,0.0
162,5465,11,0,309,4,1,0,0,1,2.0,10.0,2,0.0
163,3684,2,5,58,15,1,0,0,1,,100.0,13,0.0
164,10607,13,11,165,15,1,0,0,1,,100.0,37,0.0
165,1243,2,9,237,5,1,0,1,1,2.0,100.0,29,1.0
166,7405,0,9,237,15,1,0,1,1,,3000.0,13,0.0
167,10557,5,11,85,15,1,0,0,1,3.0,50.0,37,0.0
168,10954,15,5,317,15,1,0,0,1,2.0,2000.0,37,0.0
169,355,2,0,249,4,1,0,0,1,1.0,10.0,2,0.0
170,9858,15,0,72,4,0,0,1,1,2.0,10.0,2,0.0
171,4605,14,5,20,15,1,0,1,1,,50.0,13,0.0
172,9808,10,5,142,15,0,0,0,1,1.0,10.0,37,0.0
173,1080,2,5,333,15,1,0,1,1,3.0,500.0,37,0.0
174,5029,1,0,43,15,1,0,1,1,10.0,100.0,37,0.0
175,13910,11,5,58,15,1,0,0,1,5.0,500.0,37,0.0
176,4106,13,5,115,15,1,0,0,1,3.0,600.0,13,0.0
177,14157,0,9,237,5,1,0,1,1,3.0,4100.0,29,0.0
178,2090,0,0,81,4,1,0,1,1,4.0,30.0,2,0.0
179,718,14,0,206,4,1,0,1,1,1.0,10.0,2,0.0
180,1026,10,11,85,15,1,0,0,1,4.0,10.0,37,0.0
181,13765,2,11,30,5,1,0,0,1,1.0,15.0,22,0.0
182,13934,13,5,96,15,1,0,1,1,,500.0,40,0.0
183,4336,2,5,317,15,1,0,0,1,13.0,100.0,37,0.0
184,7751,10,14,170,15,1,0,0,3,,1000.0,37,0.0
185,12787,15,11,219,15,1,0,0,1,4.0,500.0,13,0.0
186,1741,2,9,237,5,0,0,1,1,5.0,150100.0,29,1.0
187,6449,5,5,281,15,1,0,1,1,,200.0,13,0.0
188,12458,5,5,83,15,1,0,0,1,2.0,50.0,37,0.0
189,11590,15,0,249,4,1,0,1,1,3.0,10.0,2,0.0
190,6659,11,0,249,4,0,0,1,1,10.0,20.0,2,0.0
191,8259,0,5,20,15,1,0,1,1,,100.0,36,0.0
192,5398,5,0,249,4,1,0,1,1,1.0,10.0,2,0.0
193,6871,13,5,317,15,0,0,1,1,,500.0,13,0.0
194,11981,2,0,81,4,1,0,1,1,4.0,10.0,2,0.0
195,5561,5,0,72,4,1,0,0,1,4.0,100.0,2,0.0
196,12935,5,11,165,15,1,0,0,1,2.0,100.0,13,0.0
197,13510,13,5,67,15,1,0,0,1,3.0,500.0,37,0.0
198,14681,14,0,40,4,1,0,1,1,4.0,10.0,2,0.0
199,8452,10,11,165,4,0,0,0,1,1.0,10.0,2,0.0
200,8140,2,0,72,4,1,0,0,1,5.0,10.0,2,0.0
201,1805,1,0,40,4,1,0,1,1,4.0,40.0,2,0.0
202,7937,5,14,243,15,1,0,0,1,2.0,688.0,13,0.0
203,13322,2,0,230,4,0,0,1,1,2.0,10.0,2,0.0
204,9625,5,5,317,15,1,0,0,1,1.0,12.04,37,0.0
205,8590,2,5,317,15,1,0,0,1,2.0,50.0,37,0.0
206,10937,13,5,317,15,1,0,1,1,,500.0,13,0.0
207,474,5,0,91,15,1,0,0,1,2.0,500.0,13,0.0
208,13516,5,0,309,4,1,0,1,1,5.0,10.0,2,0.0
209,4150,13,14,243,15,1,0,0,1,1.0,100.0,13,0.0
210,2240,5,5,317,15,1,0,0,1,2.0,30.0,13,0.0
211,7629,13,5,123,15,1,0,0,1,6.0,500.0,13,0.0
212,11885,13,0,249,4,0,0,1,1,3.0,20.0,2,0.0
213,9733,2,0,72,4,1,0,0,1,3.0,30.0,2,0.0
214,14266,5,0,91,4,1,0,1,1,12.0,30.0,2,0.0
215,7909,0,3,44,5,1,0,1,1,3.0,4000.0,29,1.0
216,3818,13,5,58,15,1,0,1,1,,500.0,37,0.0
217,7532,5,5,123,15,1,0,0,1,2.0,1000.0,37,0.0
218,2700,14,0,72,4,1,0,1,1,2.0,10.0,2,0.0
219,1819,11,0,72,15,1,0,1,1,,50.0,37,0.0
220,5790,11,0,121,4,1,0,1,1,2.0,20.0,2,0.0
221,13810,11,5,317,15,1,0,0,1,2.0,1000.0,13,0.0
222,10989,1,0,309,5,1,0,0,1,6.0,10.0,22,0.0
223,2246,0,3,311,15,1,0,1,1,,400.0,13,0.0
224,369,2,0,72,4,0,0,0,1,7.0,100.0,2,0.0
225,11899,2,5,96,15,1,0,1,1,,200.0,13,0.0
226,8208,11,0,97,4,1,0,1,1,2.0,15.0,2,0.0
227,8884,2,6,190,15,1,0,1,1,3.0,100.0,13,0.0
228,11951,2,5,281,15,0,0,1,1,,50.0,13,0.0
229,10324,14,11,136,15,1,0,0,1,2.0,15.0,13,0.0
230,4414,11,0,15,15,1,0,0,1,6.0,30.0,13,0.0
231,2911,13,0,194,4,1,0,1,1,2.0,10.0,2,0.0
232,6955,1,11,79,15,1,0,0,1,30.0,500.0,13,0.0
233,2833,13,5,50,15,1,0,0,1,3.0,50.0,13,0.0
234,6490,5,5,123,5,0,0,0,1,1.0,50.0,29,0.0
235,7483,6,5,258,15,1,0,0,1,1.0,50.0,37,0.0
236,4395,14,0,72,15,1,0,1,1,,1500.0,37,0.0
237,5816,11,5,317,15,1,0,0,1,5.0,4200.0,13,0.0
238,12446,13,0,129,15,1,0,0,1,4.0,10.0,37,0.0
239,3878,13,5,317,15,1,0,0,1,2.0,100.0,13,0.0
240,2235,13,0,72,4,1,0,0,1,2.0,10.0,2,0.0
241,7058,13,5,123,15,1,0,0,1,2.0,500.0,37,0.0
242,2893,1,5,25,15,1,0,0,1,10.0,500.0,13,0.0
243,10723,2,14,261,15,1,0,0,1,2.0,100.0,37,0.0
244,14579,1,6,134,15,1,0,0,1,4.0,300.0,13,0.0
245,4236,2,0,72,4,1,0,1,1,2.0,15.0,2,0.0
246,1229,2,0,72,4,1,0,1,1,3.0,10.0,2,0.0
247,13147,5,11,85,15,0,0,0,1,,100.0,13,0.0
248,8107,11,0,309,4,1,0,1,1,5.0,30.0,2,0.0
249,134,5,14,192,15,1,0,0,1,5.0,20202.0,36,0.0
250,5069,11,6,190,15,1,0,0,1,12.0,30.0,13,0.0
251,537,5,0,249,4,1,0,1,1,2.0,30.0,2,0.0
252,11822,14,0,309,4,1,0,0,1,1.0,100.0,2,0.0
253,13739,10,10,306,15,1,0,0,1,5.0,100.0,13,0.0
254,9136,13,11,234,15,0,0,0,1,,10.0,13,0.0
255,3763,13,5,317,15,1,0,0,1,2.0,50.0,37,0.0
256,10409,14,11,136,15,1,0,0,1,1.0,100.0,37,0.0
257,12260,2,9,95,15,1,0,1,1,,5000.0,13,1.0
258,12219,1,5,123,15,1,0,0,1,2.0,30.0,37,0.0
259,11224,13,5,123,15,1,0,0,1,3.0,500.0,37,0.0
260,4376,13,5,58,15,1,0,1,1,,200.0,13,0.0
261,4181,2,10,282,15,1,0,0,1,3.0,100.0,37,0.0
262,2797,13,14,261,15,1,0,0,1,40.0,500.0,36,0.0
263,13209,13,0,249,4,1,0,1,1,6.0,15.0,2,0.0
264,3398,2,0,91,4,1,0,0,1,1.0,10.0,2,0.0
265,7032,6,5,317,15,1,0,0,1,3.0,10.0,13,0.0
266,10479,1,0,72,4,1,0,1,1,1.0,10.0,2,0.0
267,6827,1,5,123,15,1,0,0,1,10.0,1000.0,13,0.0
268,10160,5,10,282,15,1,0,0,1,3.0,500.0,36,0.0
269,209,11,5,123,15,1,0,0,1,4.0,1000.0,13,0.0
270,13347,11,5,50,15,0,0,0,1,30.0,10.0,37,0.0
271,9013,1,0,72,4,1,0,0,1,3.0,20.0,2,0.0
272,4982,10,0,91,4,1,0,1,1,3.0,10.0,2,0.0
273,11729,2,11,165,15,1,0,0,1,15.0,300.0,37,0.0
274,8358,13,0,72,4,1,0,1,1,3.0,10.0,2,0.0
275,12215,15,5,269,15,1,0,0,1,6.0,50.0,10,0.0
276,5954,13,16,216,5,1,0,1,1,3.0,1687.7412,29,0.0
277,2350,1,0,230,15,1,0,0,1,8.0,165.0,37,0.0
278,9836,11,0,91,4,1,0,1,1,9.0,10.0,2,0.0
279,4779,5,5,115,15,1,0,0,1,4.0,100.0,13,0.0
280,9937,5,9,197,5,1,0,1,1,11.0,,29,1.0
281,3355,2,9,237,5,0,0,1,1,10.0,50101.0,29,1.0
282,79,11,5,61,15,1,0,0,1,6.0,200.0,37,0.0
283,14563,14,5,317,15,1,0,0,1,4.0,100.0,37,0.0
284,764,2,5,220,15,1,0,1,1,3.0,500.0,13,0.0
285,8687,2,0,72,4,1,0,1,1,3.0,10.0,2,0.0
286,6011,2,3,98,5,1,0,1,1,10.0,,29,1.0
287,12577,5,5,281,15,1,0,0,1,2.0,200.0,37,0.0
288,1739,11,5,96,15,1,0,1,1,,1000.0,13,0.0
289,14346,0,0,91,15,1,0,0,3,5.0,300.0,10,1.0
290,2826,0,0,249,4,1,0,0,1,1.0,10.0,2,0.0
291,14454,2,11,136,15,1,0,0,1,3.0,50.0,37,0.0
292,14586,5,11,165,15,1,0,0,1,6.0,1000.0,37,0.0
293,10661,5,0,249,4,0,0,1,1,2.0,10.0,2,0.0
294,1136,13,11,165,15,0,0,0,1,3.0,10.0,37,0.0
295,1821,13,0,43,15,1,0,0,1,2.0,10.0,37,0.0
296,9750,2,0,72,4,1,0,0,1,5.0,16.0,2,0.0
297,8105,1,5,258,15,1,0,0,1,3.0,500.0,13,0.0
298,9181,5,0,72,4,1,0,1,1,3.0,10.0,2,0.0
299,2660,1,5,269,15,1,0,0,1,4.0,500.0,13,0.0
300,3410,13,11,211,4,1,0,1,1,20.0,25.0,2,0.0
301,11225,13,5,55,15,1,0,1,1,3.0,518.0,13,0.0
302,12415,5,0,309,4,1,0,0,1,1.0,10.0,2,0.0
303,2620,13,0,81,4,1,0,1,1,1.0,10.0,2,0.0
304,7580,0,2,86,15,1,0,1,1,0.0,500.0,37,0.0
305,5023,11,0,40,4,1,0,1,1,3.0,30.0,2,0.0
306,721,14,0,72,4,1,0,0,1,1.0,10.0,2,0.0
307,5930,2,11,165,15,1,0,0,1,,50.0,37,0.0
308,12579,11,0,111,4,0,0,1,1,15.0,100.0,2,0.0
309,6505,5,0,89,4,1,0,1,1,4.0,10.0,2,0.0
310,7813,1,5,281,5,0,0,0,1,2.0,10.0,29,0.0
311,6327,2,3,44,15,1,0,0,1,5.0,1000.0,36,1.0
312,11155,5,0,72,4,1,0,0,1,3.0,21.0,2,0.0
313,1786,13,5,123,15,1,0,0,1,5.0,100.0,37,0.0
314,11109,11,11,165,15,1,0,0,1,2.0,50.0,37,0.0
315,9621,13,5,123,15,1,0,0,1,2.0,100.0,13,0.0
316,2984,13,5,175,15,0,0,1,1,,10.0,37,0.0
317,3106,1,14,243,15,1,0,0,1,3.0,100.0,37,0.0
318,13557,15,9,95,5,1,0,1,1,4.0,22000.0,29,1.0
319,3653,5,0,309,4,1,0,1,1,1.0,10.0,2,0.0
320,12770,14,0,249,4,1,0,1,1,2.0,10.0,2,0.0
321,9996,5,0,72,4,1,0,1,1,1.0,15.0,2,0.0
322,5523,11,11,211,15,1,0,0,1,3.0,20.0,13,0.0
323,5706,0,9,237,5,1,0,1,1,2.0,3700.0,29,1.0
324,8223,5,11,30,15,1,0,0,1,2.0,108.0,13,0.0
325,10510,10,11,165,4,0,0,1,1,1.0,10.0,2,0.0
326,3606,13,14,261,15,1,0,0,1,2.0,2000.0,13,0.0
327,12564,2,14,243,15,1,0,0,1,2.0,500.0,37,0.0
328,5756,5,11,78,15,1,0,0,1,3.0,50.0,37,0.0
329,897,5,5,61,15,1,0,0,1,6.0,500.0,13,0.0
330,8405,14,0,249,4,1,0,1,1,20.0,30.0,2,0.0
331,3652,2,5,296,15,0,0,1,1,,500.0,13,0.0
332,859,1,5,115,15,1,0,0,1,5.0,1000.0,13,0.0
333,1912,2,5,67,15,1,0,0,1,3.0,100.0,13,0.0
334,6707,14,10,282,15,1,0,0,1,8.0,500.0,13,0.0
335,6924,2,3,341,15,1,0,1,1,,500.0,36,1.0
336,13167,5,5,317,15,1,0,0,1,1.0,5000.0,13,0.0
337,1837,5,3,341,5,1,0,1,1,5.0,20000.0,29,0.0
338,4402,2,6,190,15,1,0,0,1,20.0,50.0,40,0.0
339,10878,14,0,72,15,1,0,0,1,1.0,100.0,37,0.0
340,8326,2,0,91,4,1,0,1,1,1.0,10.0,2,0.0
341,7918,13,0,91,15,1,0,0,1,3.0,100.0,13,0.0
342,7793,1,0,89,15,1,0,0,1,5.0,100.0,37,0.0
343,1464,2,5,123,15,1,0,0,1,2.0,500.0,13,0.0
344,14680,11,11,211,15,1,0,0,1,2.0,30.0,37,0.0
345,4801,0,3,44,15,1,0,1,1,,500.0,13,1.0
346,2451,13,5,123,15,1,0,0,1,3.0,1000.0,37,0.0
347,4764,2,0,72,4,1,0,0,1,3.0,50.0,2,0.0
348,12644,13,11,30,15,1,0,0,1,99.0,100.0,40,0.0
349,5358,6,11,165,15,0,0,0,1,3.0,20.0,37,0.0
350,5281,2,5,123,15,1,0,0,1,13.0,50.0,37,0.0
351,517,1,0,72,15,1,0,0,1,2.0,1000.0,13,0.0
352,8654,15,11,136,15,1,0,0,1,3.0,10.0,37,0.0
353,9918,14,0,72,4,1,0,0,1,1.0,10.0,2,0.0
354,14712,1,10,110,5,1,0,0,1,7.0,10.0,22,0.0
355,11372,13,14,243,15,1,0,0,1,3.0,500.0,13,0.0
356,14170,2,11,245,15,1,0,0,1,3.0,10.0,37,0.0
357,62,2,5,175,15,1,0,0,1,3.0,500.0,13,0.0
358,14354,11,0,72,4,1,0,0,1,3.0,10.0,2,0.0
359,11025,15,5,317,15,1,0,1,1,5.0,12360.0,36,0.0
360,6824,2,5,317,15,1,0,0,1,11.0,30.0,37,0.0
361,12281,11,0,249,4,1,0,1,1,1.0,15.0,2,0.0
362,8987,10,5,25,15,1,0,0,1,5.0,10.0,13,0.0
363,10195,2,5,281,15,1,0,0,1,5.0,500.0,13,0.0
364,12244,13,0,72,15,1,0,0,1,3.0,5000.0,37,0.0
365,9179,2,11,78,15,1,0,0,1,13.0,500.0,37,0.0
366,2635,5,14,243,15,1,0,1,3,,200.0,13,0.0
367,5781,2,5,281,15,1,0,0,1,13.0,500.0,37,0.0
368,11284,14,5,123,15,0,0,0,1,6.0,10.0,37,0.0
369,9395,0,9,95,5,1,0,1,1,32.0,455.4,29,1.0
370,2150,2,5,123,15,1,0,0,1,10.0,100.0,13,0.0
371,10149,5,5,317,15,1,0,0,1,6.0,100.0,13,0.0
372,7417,1,5,233,15,1,0,0,1,10.0,100.0,37,0.0
373,10556,0,3,44,15,1,0,1,1,3.0,200.0,37,0.0
374,12082,2,11,165,15,1,0,0,1,2.0,50.0,40,0.0
375,1387,10,11,102,15,1,0,0,1,10.0,500.0,13,0.0
376,9050,13,11,39,15,1,0,0,1,3.0,500.0,13,0.0
377,14067,5,14,243,15,1,0,0,1,2.0,10.0,13,0.0
378,1883,11,5,281,15,1,0,1,1,,16600.0,37,0.0
379,6842,13,5,123,15,1,0,0,1,2.0,2000.0,37,0.0
380,2948,13,11,165,4,1,0,1,1,2.0,10.0,2,0.0
381,4552,2,10,306,15,1,0,0,1,5.0,100.0,13,0.0
382,12671,2,5,317,15,1,0,0,3,,500.0,13,0.0
383,14657,11,0,72,4,1,0,1,1,1.0,30.0,2,0.0
384,8270,5,0,72,4,1,0,1,3,1.0,10.0,2,0.0
385,5888,5,5,333,15,0,0,1,1,,500.0,13,0.0
386,11452,13,5,123,15,0,0,0,1,3.0,20.0,13,0.0
387,6937,2,11,79,15,0,0,1,1,3.0,30.0,13,0.0
388,7213,13,0,72,4,1,0,1,1,2.0,100.0,2,0.0
389,2975,5,11,241,5,1,0,1,1,5.0,100.0,22,0.0
390,5013,14,11,165,15,1,0,0,1,2.0,15.0,37,0.0
391,14511,2,14,243,15,1,0,0,1,2.0,20.0,37,0.0
392,8716,2,5,123,15,1,0,0,1,2.0,20.0,13,0.0
393,4870,11,0,72,4,1,0,1,1,2.0,15.0,2,0.0
394,4070,14,0,309,4,1,0,1,1,3.0,20.0,2,0.0
395,1051,13,5,123,15,1,0,0,1,2.0,100.0,13,0.0
396,4073,2,5,123,15,1,0,0,1,3.0,100.0,37,0.0
397,3715,0,0,72,4,1,0,0,1,2.0,20.0,2,0.0
398,13755,2,5,175,15,1,0,0,1,3.0,50.0,37,0.0
399,13459,2,11,165,15,1,0,0,1,3.0,500.0,37,0.0
