,Unnamed: 0,oplocdistrict,industryphy,industryco,enttype,state,adbusign,townsign,regtype,empnum,regcap,enttypegb,label
174,174,1,0,43,15,1,0,1,1,10,2,37,0.0
175,175,11,5,58,15,1,0,0,1,5,4,37,0.0
176,176,13,5,115,15,1,0,0,1,3,5,13,0.0
177,177,0,9,237,5,1,0,1,1,3,7,29,0.0
178,178,0,0,81,4,1,0,1,1,4,1,2,0.0
179,179,14,0,206,4,1,0,1,1,1,0,2,0.0
180,180,10,11,85,15,1,0,0,1,4,0,37,0.0
181,181,2,11,30,5,1,0,0,1,1,1,22,0.0
182,182,13,5,96,15,1,0,1,1,3,4,40,0.0
183,183,2,5,317,15,1,0,0,1,13,2,37,0.0
184,184,10,14,170,15,1,0,0,3,3,6,37,0.0
185,185,15,11,219,15,1,0,0,1,4,4,13,0.0
186,186,2,9,237,5,0,0,1,1,5,9,29,1.0
187,187,5,5,281,15,1,0,1,1,3,3,13,0.0
188,188,5,5,83,15,1,0,0,1,2,2,37,0.0
189,189,15,0,249,4,1,0,1,1,3,0,2,0.0
190,190,11,0,249,4,0,0,1,1,10,1,2,0.0
191,191,0,5,20,15,1,0,1,1,3,2,36,0.0
192,192,5,0,249,4,1,0,1,1,1,0,2,0.0
193,193,13,5,317,15,0,0,1,1,3,4,13,0.0
194,194,2,0,81,4,1,0,1,1,4,0,2,0.0
195,195,5,0,72,4,1,0,0,1,4,2,2,0.0
196,196,5,11,165,15,1,0,0,1,2,2,13,0.0
197,197,13,5,67,15,1,0,0,1,3,4,37,0.0
198,198,14,0,40,4,1,0,1,1,4,0,2,0.0
199,199,10,11,165,4,0,0,0,1,1,0,2,0.0
200,200,2,0,72,4,1,0,0,1,5,0,2,0.0
201,201,1,0,40,4,1,0,1,1,4,2,2,0.0
202,202,5,14,243,15,1,0,0,1,2,6,13,0.0
203,203,2,0,230,4,0,0,1,1,2,0,2,0.0
204,204,5,5,317,15,1,0,0,1,1,1,37,0.0
205,205,2,5,317,15,1,0,0,1,2,2,37,0.0
206,206,13,5,317,15,1,0,1,1,3,4,13,0.0
207,207,5,0,91,15,1,0,0,1,2,4,13,0.0
208,208,5,0,309,4,1,0,1,1,5,0,2,0.0
209,209,13,14,243,15,1,0,0,1,1,2,13,0.0
210,210,5,5,317,15,1,0,0,1,2,1,13,0.0
211,211,13,5,123,15,1,0,0,1,6,4,13,0.0
212,212,13,0,249,4,0,0,1,1,3,1,2,0.0
213,213,2,0,72,4,1,0,0,1,3,1,2,0.0
214,214,5,0,91,4,1,0,1,1,12,1,2,0.0
215,215,0,3,44,5,1,0,1,1,3,7,29,1.0
216,216,13,5,58,15,1,0,1,1,3,4,37,0.0
217,217,5,5,123,15,1,0,0,1,2,6,37,0.0
218,218,14,0,72,4,1,0,1,1,2,0,2,0.0
219,219,11,0,72,15,1,0,1,1,3,2,37,0.0
220,220,11,0,121,4,1,0,1,1,2,1,2,0.0
221,221,11,5,317,15,1,0,0,1,2,6,13,0.0
222,222,1,0,309,5,1,0,0,1,6,0,22,0.0
223,223,0,3,311,15,1,0,1,1,3,4,13,0.0
224,224,2,0,72,4,0,0,0,1,7,2,2,0.0
225,225,2,5,96,15,1,0,1,1,3,3,13,0.0
226,226,11,0,97,4,1,0,1,1,2,1,2,0.0
227,227,2,6,190,15,1,0,1,1,3,2,13,0.0
228,228,2,5,281,15,0,0,1,1,3,2,13,0.0
229,229,14,11,136,15,1,0,0,1,2,1,13,0.0
230,230,11,0,15,15,1,0,0,1,6,1,13,0.0
231,231,13,0,194,4,1,0,1,1,2,0,2,0.0
232,232,1,11,79,15,1,0,0,1,30,4,13,0.0
233,233,13,5,50,15,1,0,0,1,3,2,13,0.0
234,234,5,5,123,5,0,0,0,1,1,2,29,0.0
235,235,6,5,258,15,1,0,0,1,1,2,37,0.0
236,236,14,0,72,15,1,0,1,1,3,6,37,0.0
237,237,11,5,317,15,1,0,0,1,5,7,13,0.0
238,238,13,0,129,15,1,0,0,1,4,0,37,0.0
239,239,13,5,317,15,1,0,0,1,2,2,13,0.0
240,240,13,0,72,4,1,0,0,1,2,0,2,0.0
241,241,13,5,123,15,1,0,0,1,2,4,37,0.0
242,242,1,5,25,15,1,0,0,1,10,4,13,0.0
243,243,2,14,261,15,1,0,0,1,2,2,37,0.0
244,244,1,6,134,15,1,0,0,1,4,4,13,0.0
245,245,2,0,72,4,1,0,1,1,2,1,2,0.0
246,246,2,0,72,4,1,0,1,1,3,0,2,0.0
247,247,5,11,85,15,0,0,0,1,3,2,13,0.0
248,248,11,0,309,4,1,0,1,1,5,1,2,0.0
249,249,5,14,192,15,1,0,0,1,5,8,36,0.0
250,250,11,6,190,15,1,0,0,1,12,1,13,0.0
251,251,5,0,249,4,1,0,1,1,2,1,2,0.0
252,252,14,0,309,4,1,0,0,1,1,2,2,0.0
253,253,10,10,306,15,1,0,0,1,5,2,13,0.0
254,254,13,11,234,15,0,0,0,1,3,0,13,0.0
255,255,13,5,317,15,1,0,0,1,2,2,37,0.0
256,256,14,11,136,15,1,0,0,1,1,2,37,0.0
257,257,2,9,95,15,1,0,1,1,3,7,13,1.0
258,258,1,5,123,15,1,0,0,1,2,1,37,0.0
259,259,13,5,123,15,1,0,0,1,3,4,37,0.0
260,260,13,5,58,15,1,0,1,1,3,3,13,0.0
261,261,2,10,282,15,1,0,0,1,3,2,37,0.0
262,262,13,14,261,15,1,0,0,1,40,4,36,0.0
263,263,13,0,249,4,1,0,1,1,6,1,2,0.0
264,264,2,0,91,4,1,0,0,1,1,0,2,0.0
265,265,6,5,317,15,1,0,0,1,3,0,13,0.0
266,266,1,0,72,4,1,0,1,1,1,0,2,0.0
267,267,1,5,123,15,1,0,0,1,10,6,13,0.0
268,268,5,10,282,15,1,0,0,1,3,4,36,0.0
269,269,11,5,123,15,1,0,0,1,4,6,13,0.0
270,270,11,5,50,15,0,0,0,1,30,0,37,0.0
271,271,1,0,72,4,1,0,0,1,3,1,2,0.0
272,272,10,0,91,4,1,0,1,1,3,0,2,0.0
273,273,2,11,165,15,1,0,0,1,15,4,37,0.0
274,274,13,0,72,4,1,0,1,1,3,0,2,0.0
275,275,15,5,269,15,1,0,0,1,6,2,10,0.0
276,276,13,16,216,5,1,0,1,1,3,6,29,0.0
277,277,1,0,230,15,1,0,0,1,8,3,37,0.0
278,278,11,0,91,4,1,0,1,1,9,0,2,0.0
279,279,5,5,115,15,1,0,0,1,4,2,13,0.0
280,280,5,9,197,5,1,0,1,1,11,4,29,1.0
281,281,2,9,237,5,0,0,1,1,10,9,29,1.0
282,282,11,5,61,15,1,0,0,1,6,3,37,0.0
283,283,14,5,317,15,1,0,0,1,4,2,37,0.0
284,284,2,5,220,15,1,0,1,1,3,4,13,0.0
285,285,2,0,72,4,1,0,1,1,3,0,2,0.0
286,286,2,3,98,5,1,0,1,1,10,4,29,1.0
287,287,5,5,281,15,1,0,0,1,2,3,37,0.0
288,288,11,5,96,15,1,0,1,1,3,6,13,0.0
289,289,0,0,91,15,1,0,0,3,5,4,10,1.0
290,290,0,0,249,4,1,0,0,1,1,0,2,0.0
291,291,2,11,136,15,1,0,0,1,3,2,37,0.0
292,292,5,11,165,15,1,0,0,1,6,6,37,0.0
293,293,5,0,249,4,0,0,1,1,2,0,2,0.0
294,294,13,11,165,15,0,0,0,1,3,0,37,0.0
295,295,13,0,43,15,1,0,0,1,2,0,37,0.0
296,296,2,0,72,4,1,0,0,1,5,1,2,0.0
297,297,1,5,258,15,1,0,0,1,3,4,13,0.0
298,298,5,0,72,4,1,0,1,1,3,0,2,0.0
299,299,1,5,269,15,1,0,0,1,4,4,13,0.0
300,300,13,11,211,4,1,0,1,1,20,1,2,0.0
301,301,13,5,55,15,1,0,1,1,3,5,13,0.0
302,302,5,0,309,4,1,0,0,1,1,0,2,0.0
303,303,13,0,81,4,1,0,1,1,1,0,2,0.0
304,304,0,2,86,15,1,0,1,1,0,4,37,0.0
305,305,11,0,40,4,1,0,1,1,3,1,2,0.0
306,306,14,0,72,4,1,0,0,1,1,0,2,0.0
307,307,2,11,165,15,1,0,0,1,3,2,37,0.0
308,308,11,0,111,4,0,0,1,1,15,2,2,0.0
309,309,5,0,89,4,1,0,1,1,4,0,2,0.0
310,310,1,5,281,5,0,0,0,1,2,0,29,0.0
311,311,2,3,44,15,1,0,0,1,5,6,36,1.0
312,312,5,0,72,4,1,0,0,1,3,1,2,0.0
313,313,13,5,123,15,1,0,0,1,5,2,37,0.0
314,314,11,11,165,15,1,0,0,1,2,2,37,0.0
315,315,13,5,123,15,1,0,0,1,2,2,13,0.0
316,316,13,5,175,15,0,0,1,1,3,0,37,0.0
317,317,1,14,243,15,1,0,0,1,3,2,37,0.0
318,318,15,9,95,5,1,0,1,1,4,8,29,1.0
319,319,5,0,309,4,1,0,1,1,1,0,2,0.0
320,320,14,0,249,4,1,0,1,1,2,0,2,0.0
321,321,5,0,72,4,1,0,1,1,1,1,2,0.0
322,322,11,11,211,15,1,0,0,1,3,1,13,0.0
323,323,0,9,237,5,1,0,1,1,2,7,29,1.0
324,324,5,11,30,15,1,0,0,1,2,3,13,0.0
325,325,10,11,165,4,0,0,1,1,1,0,2,0.0
326,326,13,14,261,15,1,0,0,1,2,6,13,0.0
327,327,2,14,243,15,1,0,0,1,2,4,37,0.0
328,328,5,11,78,15,1,0,0,1,3,2,37,0.0
329,329,5,5,61,15,1,0,0,1,6,4,13,0.0
330,330,14,0,249,4,1,0,1,1,20,1,2,0.0
331,331,2,5,296,15,0,0,1,1,3,4,13,0.0
332,332,1,5,115,15,1,0,0,1,5,6,13,0.0
333,333,2,5,67,15,1,0,0,1,3,2,13,0.0
334,334,14,10,282,15,1,0,0,1,8,4,13,0.0
335,335,2,3,341,15,1,0,1,1,3,4,36,1.0
336,336,5,5,317,15,1,0,0,1,1,7,13,0.0
337,337,5,3,341,5,1,0,1,1,5,8,29,0.0
338,338,2,6,190,15,1,0,0,1,20,2,40,0.0
339,339,14,0,72,15,1,0,0,1,1,2,37,0.0
340,340,2,0,91,4,1,0,1,1,1,0,2,0.0
341,341,13,0,91,15,1,0,0,1,3,2,13,0.0
342,342,1,0,89,15,1,0,0,1,5,2,37,0.0
343,343,2,5,123,15,1,0,0,1,2,4,13,0.0
344,344,11,11,211,15,1,0,0,1,2,1,37,0.0
345,345,0,3,44,15,1,0,1,1,3,4,13,1.0
346,346,13,5,123,15,1,0,0,1,3,6,37,0.0
347,347,2,0,72,4,1,0,0,1,3,2,2,0.0
348,348,13,11,30,15,1,0,0,1,99,2,40,0.0
349,349,6,11,165,15,0,0,0,1,3,1,37,0.0
350,350,2,5,123,15,1,0,0,1,13,2,37,0.0
351,351,1,0,72,15,1,0,0,1,2,6,13,0.0
352,352,15,11,136,15,1,0,0,1,3,0,37,0.0
353,353,14,0,72,4,1,0,0,1,1,0,2,0.0
354,354,1,10,110,5,1,0,0,1,7,0,22,0.0
355,355,13,14,243,15,1,0,0,1,3,4,13,0.0
356,356,2,11,245,15,1,0,0,1,3,0,37,0.0
357,357,2,5,175,15,1,0,0,1,3,4,13,0.0
358,358,11,0,72,4,1,0,0,1,3,0,2,0.0
359,359,15,5,317,15,1,0,1,1,5,8,36,0.0
360,360,2,5,317,15,1,0,0,1,11,1,37,0.0
361,361,11,0,249,4,1,0,1,1,1,1,2,0.0
362,362,10,5,25,15,1,0,0,1,5,0,13,0.0
363,363,2,5,281,15,1,0,0,1,5,4,13,0.0
364,364,13,0,72,15,1,0,0,1,3,7,37,0.0
365,365,2,11,78,15,1,0,0,1,13,4,37,0.0
366,366,5,14,243,15,1,0,1,3,3,3,13,0.0
367,367,2,5,281,15,1,0,0,1,13,4,37,0.0
368,368,14,5,123,15,0,0,0,1,6,0,37,0.0
369,369,0,9,95,5,1,0,1,1,32,4,29,1.0
370,370,2,5,123,15,1,0,0,1,10,2,13,0.0
371,371,5,5,317,15,1,0,0,1,6,2,13,0.0
372,372,1,5,233,15,1,0,0,1,10,2,37,0.0
373,373,0,3,44,15,1,0,1,1,3,3,37,0.0
374,374,2,11,165,15,1,0,0,1,2,2,40,0.0
375,375,10,11,102,15,1,0,0,1,10,4,13,0.0
376,376,13,11,39,15,1,0,0,1,3,4,13,0.0
377,377,5,14,243,15,1,0,0,1,2,0,13,0.0
378,378,11,5,281,15,1,0,1,1,3,8,37,0.0
379,379,13,5,123,15,1,0,0,1,2,6,37,0.0
380,380,13,11,165,4,1,0,1,1,2,0,2,0.0
381,381,2,10,306,15,1,0,0,1,5,2,13,0.0
382,382,2,5,317,15,1,0,0,3,3,4,13,0.0
383,383,11,0,72,4,1,0,1,1,1,1,2,0.0
384,384,5,0,72,4,1,0,1,3,1,0,2,0.0
385,385,5,5,333,15,0,0,1,1,3,4,13,0.0
386,386,13,5,123,15,0,0,0,1,3,1,13,0.0
387,387,2,11,79,15,0,0,1,1,3,1,13,0.0
388,388,13,0,72,4,1,0,1,1,2,2,2,0.0
389,389,5,11,241,5,1,0,1,1,5,2,22,0.0
390,390,14,11,165,15,1,0,0,1,2,1,37,0.0
391,391,2,14,243,15,1,0,0,1,2,1,37,0.0
392,392,2,5,123,15,1,0,0,1,2,1,13,0.0
393,393,11,0,72,4,1,0,1,1,2,1,2,0.0
394,394,14,0,309,4,1,0,1,1,3,1,2,0.0
395,395,13,5,123,15,1,0,0,1,2,2,13,0.0
396,396,2,5,123,15,1,0,0,1,3,2,37,0.0
397,397,0,0,72,4,1,0,0,1,2,1,2,0.0
398,398,2,5,175,15,1,0,0,1,3,2,37,0.0
399,399,2,11,165,15,1,0,0,1,3,4,37,0.0
400,400,13,5,123,15,1,0,0,1,2,6,13,0.0
401,401,5,0,40,4,0,0,1,1,2,1,2,0.0
402,402,2,5,73,15,1,0,0,1,2,4,13,0.0
403,403,5,5,20,15,1,0,1,1,3,2,37,0.0
404,404,10,0,249,4,1,0,1,1,2,0,2,0.0
405,405,1,0,91,4,1,0,1,1,5,2,2,0.0
406,406,5,0,72,4,1,0,1,1,10,1,2,0.0
407,407,2,5,258,15,1,0,0,1,2,2,37,0.0
408,408,6,14,243,15,1,0,0,1,3,3,37,0.0
409,409,13,5,73,15,1,0,0,1,3,2,13,0.0
410,410,10,5,317,15,1,0,0,1,4,4,13,0.0
411,411,11,0,309,4,1,0,1,1,2,2,2,0.0
412,412,11,0,91,6,1,0,0,1,7,3,18,0.0
413,413,5,3,44,5,1,0,1,1,2,8,29,0.0
414,414,13,0,91,4,0,0,1,1,2,0,2,0.0
415,415,5,0,91,4,1,0,0,1,3,1,2,0.0
416,416,14,0,91,4,0,0,1,1,1,0,2,0.0
417,417,13,0,72,15,1,0,1,1,3,0,13,0.0
418,418,0,2,148,15,1,0,1,1,3,7,13,1.0
419,419,14,0,304,15,1,0,0,1,2,3,37,0.0
420,420,5,5,258,15,1,0,0,1,3,4,37,0.0
421,421,2,5,123,15,1,0,0,1,2,4,13,0.0
422,422,2,5,123,15,1,0,0,1,13,4,13,0.0
423,423,1,5,269,15,1,0,0,1,3,4,37,0.0
424,424,5,11,165,15,1,0,0,1,3,0,37,0.0
425,425,2,0,91,4,1,0,1,1,1,0,2,0.0
426,426,14,11,136,4,1,0,1,1,1,0,2,0.0
427,427,2,5,123,15,1,0,0,1,3,4,13,0.0
428,428,11,0,309,4,1,0,1,1,4,2,2,0.0
429,429,5,0,249,4,1,0,0,1,5,2,2,0.0
430,430,13,5,258,5,1,0,0,1,2,0,22,0.0
431,431,13,11,165,15,1,0,0,3,3,4,37,0.0
432,432,1,5,258,15,1,0,0,1,1,3,37,0.0
433,433,5,0,309,4,1,0,1,1,1,0,2,0.0
434,434,5,5,317,15,1,0,0,1,2,4,13,0.0
435,435,5,5,73,15,1,0,0,1,5,2,13,0.0
436,436,2,5,317,15,1,0,0,1,1,3,13,0.0
437,437,1,10,110,5,1,0,0,1,2,2,22,0.0
438,438,2,5,123,15,1,0,0,1,1,2,13,0.0
439,439,10,14,261,14,0,0,1,1,3,8,32,0.0
440,440,13,0,72,4,1,0,1,1,2,2,2,0.0
441,441,13,6,138,15,1,0,1,1,3,2,13,0.0
442,442,0,0,309,4,1,0,1,1,12,1,2,0.0
443,443,14,3,223,5,1,0,1,1,2,3,29,0.0
444,444,2,5,317,15,1,0,0,1,3,1,13,0.0
445,445,0,5,58,15,1,0,1,1,3,6,40,0.0
446,446,1,5,50,15,1,0,0,1,1,8,40,0.0
447,447,11,11,78,15,1,0,0,1,3,2,37,0.0
448,448,6,5,258,15,1,0,0,1,3,7,13,0.0
449,449,5,5,317,15,1,0,0,1,5,2,10,0.0
450,450,5,0,91,4,1,0,1,1,4,0,2,0.0
451,451,13,5,123,15,1,0,0,1,3,2,37,0.0
452,452,2,5,20,4,1,0,1,1,5,2,2,0.0
453,453,0,19,312,15,1,0,0,1,0,8,13,1.0
454,454,0,4,303,12,1,0,0,1,4,0,21,0.0
455,455,2,5,123,15,1,0,0,1,13,0,37,0.0
456,456,2,5,58,15,0,0,0,1,80,6,13,0.0
457,457,5,5,220,15,1,0,0,1,2,4,13,0.0
458,458,13,11,165,15,1,0,0,1,2,2,37,0.0
459,459,14,14,59,15,1,0,0,1,7,4,37,0.0
460,460,10,10,137,15,1,0,0,1,3,5,13,0.0
461,461,13,5,317,15,1,0,1,1,3,4,37,0.0
