0,1,2,3,4,5,6,7,8,9,10,11,12,13
139,11107,6,5,58,15,1,0,0,1,1,500,13,0
1208,5827,0,3,44,5,1,0,1,1,5,1000,29,1
140,4416,5,5,233,15,1,0,0,1,20,700,37,0
12684,4880,2,3,44,15,1,0,0,1,0,5000,36,1
141,14126,2,0,91,4,1,0,0,1,3,50,2,0
14049,1705,0,9,237,15,1,0,1,1,3,5000,40,1
142,1502,13,0,304,15,1,0,0,1,13,500,37,0
14814,10985,0,3,44,15,1,0,1,1,0,10000,36,1
143,11565,13,11,165,15,1,0,0,1,3,500,13,0
11144,14648,0,3,44,15,1,0,1,1,0,5000,40,1
144,28,2,14,319,15,1,0,0,1,2,500,13,0
2937,10056,5,3,44,15,1,0,1,1,0,13000,36,1
145,7653,2,6,138,15,0,0,1,1,3,100,13,0
13241,1244,2,3,44,5,1,0,1,1,2,101,29,1
146,8510,14,5,20,15,1,0,0,1,3,10,13,0
5905,9671,2,9,237,5,1,0,1,1,5,5505,29,1
147,7826,13,14,152,15,1,0,0,1,200,1000,36,0
7367,6698,2,3,19,15,1,0,1,1,0,200,36,1
148,6600,10,5,281,15,1,0,0,1,6,100,13,0
2932,7736,0,3,329,15,1,0,1,1,4,104160,36,1
149,2288,13,0,72,4,1,0,1,1,2,100,2,0
6672,8363,2,9,237,5,1,0,1,1,3,120215,29,1
151,3017,5,0,81,15,1,0,0,1,3,10,37,0
6347,14777,0,3,153,15,1,0,1,1,3,10000,13,1
152,13039,10,0,91,4,1,0,1,1,5,15,2,0
3095,3796,0,3,244,15,1,0,0,1,3,2000,13,1
153,2070,5,5,317,15,1,0,0,1,2,50,13,0
8525,3164,2,9,237,5,1,0,1,1,5,70100,29,1
154,5114,10,5,317,15,1,0,0,3,0,50,13,0
8611,1897,2,9,237,5,0,0,1,1,10,3500,29,1
155,12401,10,14,243,15,1,0,0,1,3,800,13,0
10400,8248,2,9,237,5,1,0,1,1,5,139805,29,1
156,2618,14,11,219,15,1,0,0,1,2,500,13,0
14190,8941,2,9,237,5,1,0,1,1,4,230000,29,1
157,1989,6,11,136,15,1,0,0,1,3,100,10,0
12245,8418,5,3,44,3,1,0,0,3,0,0,26,1
158,1116,11,0,309,15,1,0,0,1,6,52,37,0
3284,9295,11,2,214,3,1,0,1,1,0,0,45,1
159,724,11,0,72,4,1,0,1,1,1,10,2,0
13681,4584,2,9,95,5,1,0,0,1,1,13930,29,1
160,10952,13,0,309,15,1,0,0,1,3,50,13,0
3016,8627,5,3,341,15,1,0,1,1,0,1000,13,1
161,14378,14,5,258,15,1,0,0,1,2,100,13,0
6665,9740,0,3,44,15,1,0,0,1,0,1000,37,1
162,5465,11,0,309,4,1,0,0,1,2,10,2,0
8160,2449,5,9,237,5,1,0,1,1,3,37401,29,1
163,3684,2,5,58,15,1,0,0,1,0,100,13,0
6023,3823,0,3,44,5,1,0,1,3,3,454,29,1
164,10607,13,11,165,15,1,0,0,1,0,100,37,0
4626,5242,2,9,237,5,1,0,1,1,2,99901,29,1
166,7405,0,9,237,15,1,0,1,1,0,3000,13,0
911,5120,2,9,237,5,1,0,1,1,2,205,29,1
167,10557,5,11,85,15,1,0,0,1,3,50,37,0
7407,10589,0,19,104,15,1,0,1,1,3,30,37,1
168,10954,15,5,317,15,1,0,0,1,2,2000,37,0
5768,2056,1,8,114,15,1,0,1,1,3,1511,36,1
169,355,2,0,249,4,1,0,0,1,1,10,2,0
5257,9333,1,3,31,5,1,0,1,1,2,1000,29,1
170,9858,15,0,72,4,0,0,1,1,2,10,2,0
2443,2040,10,3,44,15,1,0,1,1,0,4600,36,1
171,4605,14,5,20,15,1,0,1,1,0,50,13,0
14591,9584,2,9,237,5,1,0,1,1,2,1000,30,1
172,9808,10,5,142,15,0,0,0,1,1,10,37,0
6373,10889,5,3,44,15,1,0,1,1,0,1766,13,1
173,1080,2,5,333,15,1,0,1,1,3,500,37,0
5135,14056,2,9,237,5,1,0,1,1,2,150100,29,1
174,5029,1,0,43,15,1,0,1,1,10,100,37,0
3801,6538,2,9,237,5,1,0,1,1,5,487000,29,1
175,13910,11,5,58,15,1,0,0,1,5,500,37,0
12684,4880,2,3,44,15,1,0,0,1,0,5000,36,1
176,4106,13,5,115,15,1,0,0,1,3,600,13,0
3383,12129,5,9,237,5,1,0,1,1,5,5000,29,1
177,14157,0,9,237,5,1,0,1,1,3,4100,29,0
6574,6480,2,9,237,5,1,0,1,1,10,200001,29,1
178,2090,0,0,81,4,1,0,1,1,4,30,2,0
10858,1127,0,9,237,5,1,0,1,1,2,736,29,1
179,718,14,0,206,4,1,0,1,1,1,10,2,0
736,13270,2,9,95,5,1,0,1,1,3,80000,29,1
180,1026,10,11,85,15,1,0,0,1,4,10,37,0
186,1741,2,9,237,5,0,0,1,1,5,150100,29,1
181,13765,2,11,30,5,1,0,0,1,1,15,22,0
8694,9888,0,19,80,15,0,0,1,1,3,50,37,1
182,13934,13,5,96,15,1,0,1,1,0,500,40,0
7675,12124,0,3,44,5,1,0,1,1,3,10540,29,1
183,4336,2,5,317,15,1,0,0,1,13,100,37,0
12675,45,2,9,237,5,1,0,1,1,3,89651,29,1
184,7751,10,14,170,15,1,0,0,3,0,1000,37,0
8021,13175,0,3,44,15,1,0,1,1,0,10000,13,1
185,12787,15,11,219,15,1,0,0,1,4,500,13,0
7752,11988,0,3,44,5,1,0,1,1,5,557660,29,1
187,6449,5,5,281,15,1,0,1,1,0,200,13,0
12,13964,2,9,237,5,1,0,1,1,20,1100,29,1
188,12458,5,5,83,15,1,0,0,1,2,50,37,0
4047,12940,0,3,44,15,1,0,1,1,3,2000,40,1
189,11590,15,0,249,4,1,0,1,1,3,10,2,0
11116,2375,12,3,1,12,1,0,0,1,4,0,21,1
190,6659,11,0,249,4,0,0,1,1,10,20,2,0
9423,9401,2,3,44,5,1,0,0,1,5,1000100,29,1
191,8259,0,5,20,15,1,0,1,1,0,100,36,0
10590,1549,0,9,237,5,1,0,1,1,3,300100,29,1
192,5398,5,0,249,4,1,0,1,1,1,10,2,0
6534,8535,5,9,237,15,1,0,1,1,0,70000,40,1
193,6871,13,5,317,15,0,0,1,1,0,500,13,0
1211,11447,2,9,237,5,1,0,1,1,10,103501,29,1
194,11981,2,0,81,4,1,0,1,1,4,10,2,0
8525,3164,2,9,237,5,1,0,1,1,5,70100,29,1
195,5561,5,0,72,4,1,0,0,1,4,100,2,0
12232,11664,0,3,143,15,1,0,0,1,0,14200,13,1
196,12935,5,11,165,15,1,0,0,1,2,100,13,0
8047,12310,0,3,44,5,1,0,1,1,10,180460,29,1
197,13510,13,5,67,15,1,0,0,1,3,500,37,0
12821,3646,0,3,44,15,1,0,1,1,0,100,37,1
198,14681,14,0,40,4,1,0,1,1,4,10,2,0
12618,8666,1,3,54,5,1,0,0,1,10,10000,29,1
199,8452,10,11,165,4,0,0,0,1,1,10,2,0
4595,12204,0,9,95,3,1,0,1,1,0,0,3,1
200,8140,2,0,72,4,1,0,0,1,5,10,2,0
3095,3796,0,3,244,15,1,0,0,1,3,2000,13,1
201,1805,1,0,40,4,1,0,1,1,4,40,2,0
13466,9474,0,3,44,15,1,0,1,1,0,500,13,1
202,7937,5,14,243,15,1,0,0,1,2,688,13,0
13088,5169,0,3,44,3,1,0,1,1,3,0,28,1
203,13322,2,0,230,4,0,0,1,1,2,10,2,0
13566,7704,1,9,242,15,1,0,1,1,0,50,10,1
204,9625,5,5,317,15,1,0,0,1,1,12,37,0
11995,8051,0,3,341,15,1,0,1,1,3,100,13,1
205,8590,2,5,317,15,1,0,0,1,2,50,37,0
4018,1427,14,2,224,15,1,0,1,1,0,100,13,1
206,10937,13,5,317,15,1,0,1,1,0,500,13,0
5813,4250,0,5,258,3,1,0,1,1,3,0,28,1
207,474,5,0,91,15,1,0,0,1,2,500,13,0
4988,255,2,9,237,5,1,0,1,1,3,60100,29,1
208,13516,5,0,309,4,1,0,1,1,5,10,2,0
5778,4064,0,3,44,5,1,0,1,1,5,580,29,1
209,4150,13,14,243,15,1,0,0,1,1,100,13,0
10752,13534,2,3,341,5,1,0,0,1,5,20100,29,1
210,2240,5,5,317,15,1,0,0,1,2,30,13,0
186,1741,2,9,237,5,0,0,1,1,5,150100,29,1
211,7629,13,5,123,15,1,0,0,1,6,500,13,0
2764,10465,5,3,44,15,1,0,1,1,0,1000,13,1
212,11885,13,0,249,4,0,0,1,1,3,20,2,0
885,13067,0,9,237,15,1,0,1,1,3,4000,36,1
213,9733,2,0,72,4,1,0,0,1,3,30,2,0
4735,3560,15,9,95,5,1,0,1,1,19,95,29,1
214,14266,5,0,91,4,1,0,1,1,12,30,2,0
5891,1751,0,3,44,5,1,0,1,1,3,2351,29,1
216,3818,13,5,58,15,1,0,1,1,0,500,37,0
6061,3950,2,3,341,15,0,0,1,1,3,1000,36,1
217,7532,5,5,123,15,1,0,0,1,2,1000,37,0
3397,9265,2,9,237,5,1,0,1,1,2,150100,29,1
218,2700,14,0,72,4,1,0,1,1,2,10,2,0
6665,9740,0,3,44,15,1,0,0,1,0,1000,37,1
219,1819,11,0,72,15,1,0,1,1,0,50,37,0
10752,13534,2,3,341,5,1,0,0,1,5,20100,29,1
220,5790,11,0,121,4,1,0,1,1,2,20,2,0
3460,4164,0,3,205,10,1,0,0,4,0,0,50,1
221,13810,11,5,317,15,1,0,0,1,2,1000,13,0
7539,4271,5,3,341,5,1,0,1,1,3,26770,29,1
222,10989,1,0,309,5,1,0,0,1,6,10,22,0
2760,2313,2,3,341,15,0,0,1,1,0,1980,13,1
223,2246,0,3,311,15,1,0,1,1,0,400,13,0
13007,11548,2,9,237,5,1,0,1,1,5,38200,29,1
224,369,2,0,72,4,0,0,0,1,7,100,2,0
4542,8349,1,3,44,5,1,0,1,1,0,11500,29,1
225,11899,2,5,96,15,1,0,1,1,0,200,13,0
13926,12388,0,9,237,5,1,0,1,1,5,537660,29,1
226,8208,11,0,97,4,1,0,1,1,2,15,2,0
12474,8275,0,9,207,5,1,0,1,1,0,760,29,1
227,8884,2,6,190,15,1,0,1,1,3,100,13,0
7339,4203,2,3,341,15,1,0,1,1,5,200,36,1
228,11951,2,5,281,15,0,0,1,1,0,50,13,0
13371,11317,0,3,44,5,1,0,1,1,10,50200,29,1
229,10324,14,11,136,15,1,0,0,1,2,15,13,0
9163,5728,0,9,197,15,1,0,1,1,0,8000,36,1
230,4414,11,0,15,15,1,0,0,1,6,30,13,0
14207,4434,2,9,237,5,1,0,1,1,6,25050,29,1
231,2911,13,0,194,4,1,0,1,1,2,10,2,0
7631,12151,2,3,44,5,1,0,1,1,3,5870,29,1
232,6955,1,11,79,15,1,0,0,1,30,500,13,0
11453,4300,0,3,205,5,1,0,1,1,5,30,29,1
233,2833,13,5,50,15,1,0,0,1,3,50,13,0
6618,6000,10,9,207,5,1,0,1,1,42,1116,29,1
234,6490,5,5,123,5,0,0,0,1,1,50,29,0
8358,13095,0,9,197,15,1,0,0,1,4,64970,36,1
235,7483,6,5,258,15,1,0,0,1,1,50,37,0
14217,4820,2,9,237,5,1,0,1,1,2,20000,29,1
236,4395,14,0,72,15,1,0,1,1,0,1500,37,0
3280,4472,0,3,98,5,1,0,1,1,10,5000,29,1
237,5816,11,5,317,15,1,0,0,1,5,4200,13,0
13997,214,2,9,237,5,1,0,1,1,2,5000,29,1
238,12446,13,0,129,15,1,0,0,1,4,10,37,0
4111,335,2,9,237,5,1,0,1,1,2,230100,29,1
239,3878,13,5,317,15,1,0,0,1,2,100,13,0
13037,14581,10,9,207,5,1,0,1,1,10,5900,29,1
240,2235,13,0,72,4,1,0,0,1,2,10,2,0
13658,10241,0,9,95,15,1,0,0,1,5,74000,36,1
241,7058,13,5,123,15,1,0,0,1,2,500,37,0
1368,13144,2,9,237,5,1,0,1,1,5,10,29,1
242,2893,1,5,25,15,1,0,0,1,10,500,13,0
3460,4164,0,3,205,10,1,0,0,4,0,0,50,1
243,10723,2,14,261,15,1,0,0,1,2,100,37,0
9646,12140,2,9,237,5,1,0,1,1,3,21600,29,1
244,14579,1,6,134,15,1,0,0,1,4,300,13,0
2303,5984,0,9,237,5,1,0,0,1,5,10,29,1
245,4236,2,0,72,4,1,0,1,1,2,15,2,0
10027,893,0,2,340,15,1,0,0,1,0,378,13,1
246,1229,2,0,72,4,1,0,1,1,3,10,2,0
1642,4027,5,19,80,15,1,0,0,1,5,83820,36,1
247,13147,5,11,85,15,0,0,0,1,0,100,13,0
